[  294.464098] [pid: 2388], CPUburst : 4183894, rt_priority:10
[  294.467724] [pid: 2389], CPUburst : 3628309, rt_priority:10
[  294.472634] [pid: 2388], CPUburst : 4908750, rt_priority:10
[  294.475715] [pid: 2389], CPUburst : 3081984, rt_priority:10
[  294.480422] [pid: 2388], CPUburst : 4706327, rt_priority:10
[  294.483683] [pid: 2389], CPUburst : 3261815, rt_priority:10
[  294.488279] [pid: 2388], CPUburst : 4592687, rt_priority:10
[  294.491657] [pid: 2389], CPUburst : 3380592, rt_priority:10
[  294.496024] [pid: 2388], CPUburst : 4366388, rt_priority:10
[  294.499995] [pid: 2389], CPUburst : 3972896, rt_priority:10
[  294.503851] [pid: 2388], CPUburst : 3855380, rt_priority:10
[  294.507754] [pid: 2389], CPUburst : 3902791, rt_priority:10
[  294.511659] [pid: 2388], CPUburst : 3905219, rt_priority:10
[  294.516558] [pid: 2389], CPUburst : 4899447, rt_priority:10
[  294.520447] [pid: 2388], CPUburst : 3888695, rt_priority:10
[  294.523804] [pid: 2389], CPUburst : 3357309, rt_priority:10
[  294.528281] [pid: 2388], CPUburst : 4476482, rt_priority:10
[  294.531723] [pid: 2389], CPUburst : 3441007, rt_priority:10
[  294.536062] [pid: 2388], CPUburst : 4339788, rt_priority:10
[  294.539917] [pid: 2389], CPUburst : 3855660, rt_priority:10
[  294.543890] [pid: 2388], CPUburst : 3972917, rt_priority:10
[  294.547818] [pid: 2389], CPUburst : 3926705, rt_priority:10
[  294.551686] [pid: 2388], CPUburst : 3867398, rt_priority:10
[  294.556639] [pid: 2389], CPUburst : 4953832, rt_priority:10
[  294.560527] [pid: 2388], CPUburst : 3888493, rt_priority:10
[  294.564468] [pid: 2389], CPUburst : 3940387, rt_priority:10
[  294.568368] [pid: 2388], CPUburst : 3901092, rt_priority:10
[  294.572281] [pid: 2389], CPUburst : 3913309, rt_priority:10
[  294.576271] [pid: 2388], CPUburst : 3989614, rt_priority:10
[  294.580156] [pid: 2389], CPUburst : 3884946, rt_priority:10
[  294.584107] [pid: 2388], CPUburst : 3951461, rt_priority:10
[  294.588928] [pid: 2389], CPUburst : 4820875, rt_priority:10
[  294.591928] [pid: 2388], CPUburst : 2999822, rt_priority:10
[  294.595821] [pid: 2389], CPUburst : 3893600, rt_priority:10
[  294.599759] [pid: 2388], CPUburst : 3938171, rt_priority:10
[  294.603653] [pid: 2389], CPUburst : 3893244, rt_priority:10
[  294.607610] [pid: 2388], CPUburst : 3956752, rt_priority:10
[  294.611782] [pid: 2389], CPUburst : 4172855, rt_priority:10
[  294.616414] [pid: 2388], CPUburst : 4630951, rt_priority:10
[  294.620336] [pid: 2389], CPUburst : 3922763, rt_priority:10
[  294.624233] [pid: 2388], CPUburst : 3897414, rt_priority:10
[  294.628412] [pid: 2389], CPUburst : 4178332, rt_priority:10
[  294.632025] [pid: 2388], CPUburst : 3613147, rt_priority:10
[  294.635657] [pid: 2389], CPUburst : 3630694, rt_priority:10
[  294.639840] [pid: 2388], CPUburst : 4182718, rt_priority:10
[  294.643729] [pid: 2389], CPUburst : 3890874, rt_priority:10
[  294.647634] [pid: 2388], CPUburst : 3903994, rt_priority:10
[  294.651923] [pid: 2389], CPUburst : 4288050, rt_priority:10
[  294.656064] [pid: 2388], CPUburst : 4138075, rt_priority:10
[  294.660439] [pid: 2389], CPUburst : 4365493, rt_priority:10
[  294.663595] [pid: 2388], CPUburst : 3168654, rt_priority:10
