[ 3553.517962] [pid: 2616], CPUburst : 100030249, rt_priority:10
[ 3553.617551] [pid: 2617], CPUburst : 99588990, rt_priority:10
[ 3553.717846] [pid: 2616], CPUburst : 100295735, rt_priority:10
[ 3553.817988] [pid: 2617], CPUburst : 100116532, rt_priority:10
[ 3553.918171] [pid: 2616], CPUburst : 100180132, rt_priority:10
[ 3554.018351] [pid: 2617], CPUburst : 100207952, rt_priority:10
[ 3554.117781] [pid: 2616], CPUburst : 99429657, rt_priority:10
[ 3554.217756] [pid: 2617], CPUburst : 99975784, rt_priority:10
[ 3554.318400] [pid: 2616], CPUburst : 100643856, rt_priority:10
[ 3554.417675] [pid: 2617], CPUburst : 99275220, rt_priority:10
[ 3554.517558] [pid: 2616], CPUburst : 99881813, rt_priority:10
[ 3554.618514] [pid: 2617], CPUburst : 100956624, rt_priority:10
[ 3554.717805] [pid: 2616], CPUburst : 99291068, rt_priority:10
[ 3554.818333] [pid: 2617], CPUburst : 100528263, rt_priority:10
[ 3554.918479] [pid: 2616], CPUburst : 100146253, rt_priority:10
[ 3555.018302] [pid: 2617], CPUburst : 99822394, rt_priority:10
[ 3555.117820] [pid: 2616], CPUburst : 99518073, rt_priority:10
[ 3555.218431] [pid: 2617], CPUburst : 100610237, rt_priority:10
[ 3555.318001] [pid: 2616], CPUburst : 99570461, rt_priority:10
[ 3555.418107] [pid: 2617], CPUburst : 100107440, rt_priority:10
[ 3555.517739] [pid: 2616], CPUburst : 99630824, rt_priority:10
[ 3555.618291] [pid: 2617], CPUburst : 100549070, rt_priority:10
[ 3555.717854] [pid: 2616], CPUburst : 99565782, rt_priority:10
[ 3555.817866] [pid: 2617], CPUburst : 100012339, rt_priority:10
[ 3555.917749] [pid: 2616], CPUburst : 99883447, rt_priority:10
[ 3556.018073] [pid: 2617], CPUburst : 100323189, rt_priority:10
[ 3556.117734] [pid: 2616], CPUburst : 99660034, rt_priority:10
[ 3556.218126] [pid: 2617], CPUburst : 100393031, rt_priority:10
[ 3556.318071] [pid: 2616], CPUburst : 99931383, rt_priority:10
[ 3556.418112] [pid: 2617], CPUburst : 100053812, rt_priority:10
